ProteinID	Known_GO_Terms
A0QZ48	GO:0010498, GO:0019941, GO:0031386, GO:0070490, GO:0070628
A5A616	GO:0005886, GO:0010350, GO:0010960
D3VML5	GO:0001897, GO:0005576, GO:0009275, GO:0050830
D4GWB3	GO:0008270, GO:0090606, GO:0097590
D4GZE7	GO:0000166, GO:0031386, GO:0032446
E5KIB6	GO:0043245, GO:0050830
G4V4G2	GO:0005737, GO:0017000, GO:0034552
H9L478	GO:0031472, GO:0051144
O32583	GO:0000166, GO:0009228, GO:0009229, GO:0052837, GO:0097163, GO:1902503, GO:1990228
O33348	GO:0003677, GO:0004519, GO:0006401, GO:0045892, GO:0045926
O53353	GO:0003677, GO:0005737, GO:0035731, GO:0045454, GO:0045892, GO:0046872, GO:0047134, GO:0051539
O54329	GO:0005102, GO:0005576, GO:0006865, GO:0031640, GO:0042391, GO:0050829, GO:0050830
O69078	GO:0005829, GO:0006109, GO:0006402, GO:0009372, GO:0030254, GO:0033103, GO:0043455, GO:0045947, GO:0045948, GO:0048027, GO:1900190
O87236	GO:0005102, GO:0005576, GO:0031640, GO:0050830
O87237	GO:0005102, GO:0005576, GO:0031640, GO:0050830
P05043	GO:0016787, GO:0030435, GO:0043937, GO:0046983
P08821	GO:0003677, GO:0005829, GO:0009295, GO:0030261, GO:0030527
P08877	GO:0005737, GO:0009401, GO:0043610
P09190	GO:0005506, GO:0009055, GO:0009539, GO:0009767, GO:0020037, GO:0030096, GO:0031676
P09191	GO:0005506, GO:0009055, GO:0009539, GO:0009767, GO:0020037, GO:0030096, GO:0031676, GO:0042802
P0A1C7	GO:0031472, GO:0051144
P0A223	GO:0005576, GO:0009986, GO:0030254, GO:0030257, GO:0042802
P0A3C9	GO:0009055, GO:0022900, GO:0046872, GO:0051537
P0A6A8	GO:0000035, GO:0000036, GO:0005737, GO:0005829, GO:0006633, GO:0008289, GO:0008610, GO:0009245, GO:0009410, GO:0031177
P0A6F9	GO:0005524, GO:0005829, GO:0006457, GO:0009408, GO:0019068, GO:0042802, GO:0044183, GO:0046872, GO:0051082, GO:0051085, GO:0051087, GO:1990220
P0A6R3	GO:0000786, GO:0000976, GO:0001046, GO:0001216, GO:0001217, GO:0003677, GO:0005829, GO:0006351, GO:0006355, GO:0009295, GO:0009314, GO:0031421, GO:0032359, GO:0032993, GO:0042803, GO:0043565, GO:0044374, GO:0045911, GO:0051276
