Protein	GO_term/EC_number	Score	Annotation	Neural_net	DeepFRI_mode	DB_hit	DB_name	Identity	Coverage
P0AAZ7	GO:0009987	0.9408218264579773	cellular process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0008152	0.7100405693054199	metabolic process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0044237	0.5473749041557312	cellular metabolic process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0065007	0.31637147068977356	biological regulation	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0071704	0.23235875368118286	organic substance metabolic process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0044238	0.16448451578617096	primary metabolic process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P0AAZ7	GO:0050789	0.11852898448705673	regulation of biological process	gcn	bp	2hf1_B	pdb100_230517	0.5263158082962036	0.949999988079071
P46789	GO:0009987	0.6748447418212891	cellular process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0065007	0.6371052265167236	biological regulation	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0050789	0.5947800874710083	regulation of biological process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0050794	0.38481131196022034	regulation of cellular process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0008152	0.23224489390850067	metabolic process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0050896	0.22861717641353607	response to stimulus	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0071704	0.12994875013828278	organic substance metabolic process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0051716	0.11041747033596039	cellular response to stimulus	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0043170	0.1071004867553711	macromolecule metabolic process	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
P46789	GO:0048583	0.10072332620620728	regulation of response to stimulus	gcn	bp	8cvm_y	pdb100_230517	0.7413793206214905	0.9666666388511658
Q74CS3	GO:0009987	0.5487993955612183	cellular process	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0065007	0.2700117230415344	biological regulation	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0050789	0.2236633151769638	regulation of biological process	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0050896	0.15869270265102386	response to stimulus	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0007049	0.13722099363803864	cell cycle	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0006950	0.13018682599067688	response to stress	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0008152	0.1207323968410492	metabolic process	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0006996	0.11436770856380463	organelle organization	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0016043	0.11380979418754578	cellular component organization	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0071840	0.10336588323116302	cellular component organization or biogenesis	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q74CS3	GO:0044419	0.10262200236320496	biological process involved in interspecies interaction between organisms	gcn	bp	7lh5_D5	pdb100_230517	0.5614035129547119	1.0
Q7DDM0	GO:0009987	0.6945390701293945	cellular process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0008152	0.5739186406135559	metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0044237	0.3233300745487213	cellular metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0071704	0.18625867366790771	organic substance metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0043170	0.14401596784591675	macromolecule metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0044238	0.11254331469535828	primary metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0065007	0.1042148619890213	biological regulation	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q7DDM0	GO:0006807	0.10068365186452866	nitrogen compound metabolic process	gcn	bp	2pk7_B	pdb100_230517	0.6206896305084229	0.9666666388511658
Q81J24	GO:0009987	0.9147797226905823	cellular process	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
Q81J24	GO:0071840	0.5353836417198181	cellular component organization or biogenesis	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
Q81J24	GO:0016043	0.5234270095825195	cellular component organization	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
Q81J24	GO:0065007	0.32062289118766785	biological regulation	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
Q81J24	GO:0006996	0.3135247230529785	organelle organization	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
Q81J24	GO:0050789	0.2621198296546936	regulation of biological process	gcn	bp	4wf9_W	pdb100_230517	0.7758620977401733	0.9833333492279053
